都道府県,市区町村,人口
山形県,舟形町,5007.0
山形県,真室川町,7203.0
山形県,大蔵村,3028.0
山形県,鮭川村,3902.0
山形県,戸沢村,4199.0
山形県,高畠町,22463.0
山形県,川西町,14558.0
山形県,小国町,7107.0
山形県,白鷹町,12890.0
山形県,飯豊町,6613.0
山形県,三川町,7601.0
山形県,庄内町,20151.0
山形県,遊佐町,13032.0
福島県,福島市,282693.0
福島県,会津若松市,117376.0
福島県,郡山市,327692.0
福島県,いわき市,332931.0
福島県,白河市,59491.0
福島県,須賀川市,74992.0
福島県,喜多方市,44760.0
福島県,相馬市,34865.0
福島県,二本松市,53557.0
福島県,田村市,35169.0
福島県,南相馬市,59005.0
福島県,伊達市,58240.0
福島県,本宮市,30236.0
福島県,桑折町,11459.0
福島県,国見町,8639.0
福島県,川俣町,12170.0
福島県,大玉村,8900.0
福島県,鏡石町,12318.0
福島県,天栄村,5194.0
福島県,下郷町,5264.0
福島県,檜枝岐村,504.0
福島県,只見町,4044.0
福島県,南会津町,14451.0
福島県,北塩原村,2556.0
福島県,西会津町,5770.0
福島県,磐梯町,3322.0
福島県,猪苗代町,13552.0
福島県,会津坂下町,15068.0
福島県,湯川村,3081.0
福島県,柳津町,3081.0
福島県,三島町,1452.0
福島県,金山町,1862.0
福島県,昭和村,1246.0
福島県,会津美里町,19014.0
福島県,西郷村,20808.0
福島県,泉崎村,6213.0
福島県,中島村,4885.0
福島県,矢吹町,17287.0
福島県,棚倉町,13343.0
福島県,矢祭町,5392.0
福島県,塙町,8302.0
福島県,鮫川村,3049.0
福島県,石川町,14644.0
福島県,玉川村,6392.0
福島県,平田村,5826.0
福島県,浅川町,6036.0
福島県,古殿町,4825.0
福島県,三春町,17018.0
福島県,小野町,9471.0
福島県,広野町,5412.0
福島県,楢葉町,3710.0
福島県,富岡町,2128.0
福島県,川内村,2044.0
福島県,大熊町,847.0
福島県,浪江町,1923.0
福島県,葛尾村,420.0
福島県,新地町,7905.0
福島県,飯舘村,1318.0
