都道府県,市区町村,総数,65歳以上,高齢化率
秋田県,大仙市,77657.0,29991.0,38.61983
秋田県,北秋田市,30198.0,13450.0,44.53937
秋田県,にかほ市,23435.0,9140.0,39.00149
秋田県,仙北市,24610.0,10560.0,42.90939
秋田県,小坂町,4780.0,2145.0,44.87448
秋田県,上小阿仁村,2063.0,1107.0,53.65972
秋田県,藤里町,2896.0,1413.0,48.79144
秋田県,三種町,15254.0,6935.0,45.46348
秋田県,八峰町,6577.0,3036.0,46.16086
秋田県,五城目町,8538.0,4038.0,47.29445
秋田県,八郎潟町,5583.0,2480.0,44.42056
秋田県,井川町,4566.0,1987.0,43.5173
秋田県,大潟村,3011.0,960.0,31.8831
秋田県,美郷町,18613.0,7368.0,39.58524
秋田県,羽後町,13825.0,5446.0,39.39241
秋田県,東成瀬村,2704.0,1009.0,37.31509
山形県,山形市,247590.0,73234.0,29.57874
山形県,米沢市,81252.0,25390.0,31.24846
山形県,鶴岡市,122347.0,43178.0,35.29143
山形県,酒田市,100273.0,36263.0,36.16427
山形県,新庄市,34432.0,11400.0,33.10874
山形県,寒河江市,40189.0,12890.0,32.07345
山形県,上山市,29110.0,11451.0,39.337
山形県,村山市,22516.0,8908.0,39.56298
山形県,長井市,26543.0,9470.0,35.67796
山形県,天童市,62140.0,18801.0,30.25587
山形県,東根市,47682.0,13472.0,28.25385
山形県,尾花沢市,14971.0,6232.0,41.62715
山形県,南陽市,30420.0,10347.0,34.01381
山形県,山辺町,13725.0,4716.0,34.36066
山形県,中山町,10746.0,3835.0,35.6877
山形県,河北町,17641.0,6644.0,37.66226
山形県,西川町,4956.0,2266.0,45.72236
山形県,朝日町,6366.0,2829.0,44.43921
山形県,大江町,7646.0,3035.0,39.69396
山形県,大石田町,6577.0,2632.0,40.01825
山形県,金山町,5071.0,1878.0,37.03412
山形県,最上町,8080.0,3260.0,40.34653
山形県,舟形町,5007.0,2103.0,42.0012
山形県,真室川町,7203.0,3006.0,41.73261
山形県,大蔵村,3028.0,1188.0,39.23382
山形県,鮭川村,3902.0,1580.0,40.49206
山形県,戸沢村,4199.0,1704.0,40.58109
山形県,高畠町,22463.0,7597.0,33.82006
山形県,川西町,14558.0,5682.0,39.03009
山形県,小国町,7107.0,2882.0,40.55157
山形県,白鷹町,12890.0,4990.0,38.71218
山形県,飯豊町,6613.0,2557.0,38.66626
山形県,三川町,7601.0,2665.0,35.06118
山形県,庄内町,20151.0,7585.0,37.64081
山形県,遊佐町,13032.0,5508.0,42.26519
福島県,福島市,282693.0,85853.0,30.36969
福島県,会津若松市,117376.0,36849.0,31.39398
福島県,郡山市,327692.0,88149.0,26.89995
福島県,いわき市,332931.0,104428.0,31.36626
福島県,白河市,59491.0,17691.0,29.73727
福島県,須賀川市,74992.0,21483.0,28.64706
福島県,喜多方市,44760.0,16479.0,36.81635
福島県,相馬市,34865.0,10872.0,31.18313
福島県,二本松市,53557.0,18452.0,34.45301
福島県,田村市,35169.0,12633.0,35.92084
福島県,南相馬市,59005.0,21364.0,36.2071
福島県,伊達市,58240.0,21032.0,36.11264
福島県,本宮市,30236.0,8580.0,28.37677
福島県,桑折町,11459.0,4349.0,37.9527
福島県,国見町,8639.0,3642.0,42.15766
福島県,川俣町,12170.0,5138.0,42.21857
福島県,大玉村,8900.0,2464.0,27.68539
福島県,鏡石町,12318.0,3441.0,27.93473
福島県,天栄村,5194.0,1916.0,36.88872
福島県,下郷町,5264.0,2360.0,44.83283
福島県,檜枝岐村,504.0,194.0,38.49206
福島県,只見町,4044.0,1907.0,47.15628
福島県,南会津町,14451.0,6057.0,41.91405
福島県,北塩原村,2556.0,948.0,37.0892
福島県,西会津町,5770.0,2719.0,47.12305
福島県,磐梯町,3322.0,1246.0,37.50753
福島県,猪苗代町,13552.0,5369.0,39.61777
福島県,会津坂下町,15068.0,5524.0,36.66047
福島県,湯川村,3081.0,1066.0,34.59916
福島県,柳津町,3081.0,1397.0,45.34242
福島県,三島町,1452.0,783.0,53.92562
福島県,金山町,1862.0,1134.0,60.90226
福島県,昭和村,1246.0,693.0,55.61798
福島県,会津美里町,19014.0,7577.0,39.84958
福島県,西郷村,20808.0,5221.0,25.09131
福島県,泉崎村,6213.0,1986.0,31.96523
福島県,中島村,4885.0,1479.0,30.27636
福島県,矢吹町,17287.0,5432.0,31.42246
福島県,棚倉町,13343.0,4279.0,32.06925
福島県,矢祭町,5392.0,2126.0,39.42878
福島県,塙町,8302.0,3206.0,38.6172
福島県,鮫川村,3049.0,1221.0,40.04592
福島県,石川町,14644.0,5432.0,37.09369
福島県,玉川村,6392.0,2025.0,31.68023
福島県,平田村,5826.0,2057.0,35.30724
