都道府県,分析方法,距離種別,店舗探索範囲,人口加重平均距離_km,人口加重中央値_km,人口加重90パーセンタイル_km,対象市区町村数,対象人口,対象メッシュ数
和歌山県,市区町村重心法,直線距離(Haversine),prefecture,4.405,1.144,14.666,30.0,922584,
和歌山県,1kmメッシュ法,直線距離(Haversine),prefecture,1.817,0.968,3.736,,922584,2237.0
