KEY_CODE,人口,緯度,経度,最寄り店舗距離_km
50351579,21,33.47916666666667,135.74375,3.811
50351583,21,33.48750000000001,135.66875,10.735
50351584,80,33.48750000000001,135.68125,9.609
50351585,11,33.48750000000001,135.69375,8.493
50351586,34,33.48750000000001,135.70624999999998,7.39
50351587,431,33.48750000000001,135.71875,6.256
50351588,192,33.48750000000001,135.73125,5.117
50351589,110,33.48750000000001,135.74375,3.989
50351592,50,33.495833333333344,135.65625,12.091
50351593,121,33.495833333333344,135.66875,10.982
50351594,47,33.495833333333344,135.68125,9.845
50351595,16,33.495833333333344,135.69375,8.713
50351596,37,33.495833333333344,135.70624999999998,7.588
50351597,88,33.495833333333344,135.71875,6.476
50351598,51,33.495833333333344,135.73125,5.383
50351599,138,33.495833333333344,135.74375,4.326
50351620,398,33.43750000000001,135.75625,3.901
50351621,18,33.43750000000001,135.76874999999998,3.337
50351630,1119,33.44583333333334,135.75625,3.208
50351631,185,33.44583333333334,135.76874999999998,2.492
50351632,286,33.44583333333334,135.78125,2.195
50351633,166,33.44583333333334,135.79375,2.473
50351640,335,33.45416666666667,135.75625,2.661
50351641,636,33.45416666666667,135.76874999999998,1.732
50351642,148,33.45416666666667,135.78125,1.269
50351643,195,33.45416666666667,135.79375,1.705
50351645,15,33.45416666666667,135.81875,3.684
50351646,123,33.45416666666667,135.83124999999998,4.789
50351652,833,33.462500000000006,135.78125,0.343
50351656,229,33.462500000000006,135.83124999999998,4.604
50351657,20,33.462500000000006,135.84375,5.695
50351658,79,33.462500000000006,135.85625,6.809
50351661,32,33.47083333333334,135.76874999999998,1.317
50351662,1746,33.47083333333334,135.78125,0.585
50351664,351,33.47083333333334,135.80625,2.107
50351665,13,33.47083333333334,135.81875,3.209
50351666,34,33.47083333333334,135.83124999999998,4.341
50351667,44,33.47083333333334,135.84375,5.485
50351668,66,33.47083333333334,135.85625,6.634
50351670,19,33.47916666666667,135.75625,2.693
50351671,196,33.47916666666667,135.76874999999998,1.536
50351672,1092,33.47916666666667,135.78125,0.391
50351673,55,33.47916666666667,135.79375,0.797
50351674,69,33.47916666666667,135.80625,1.95
50351680,93,33.48750000000001,135.75625,2.887
50351681,266,33.48750000000001,135.76874999999998,1.855
50351682,101,33.48750000000001,135.78125,1.111
50351683,178,33.48750000000001,135.79375,1.31
50351690,24,33.495833333333344,135.75625,3.336
50351691,1,33.495833333333344,135.76874999999998,2.498
50351692,7,33.495833333333344,135.78125,2.008
50351693,98,33.495833333333344,135.79375,2.125
50352358,7,33.545833333333334,135.48125,5.525
50352359,566,33.545833333333334,135.49375,6.545
50352366,13,33.55416666666667,135.45624999999998,3.087
50352368,43,33.55416666666667,135.48125,5.11
50352369,1173,33.55416666666667,135.49375,6.199
50352375,364,33.5625,135.44375,1.604
50352379,132,33.5625,135.49375,5.978
50352384,391,33.57083333333334,135.43125,0.122
50352385,322,33.57083333333334,135.44375,1.264
50352386,119,33.57083333333334,135.45624999999998,2.422
50352389,6,33.57083333333334,135.49375,5.896
50352393,14,33.57916666666667,135.41875,1.363
50352394,27,33.57916666666667,135.43125,0.871
50352396,208,33.57916666666667,135.45624999999998,2.571
50352397,414,33.57916666666667,135.46875,3.682
50352398,28,33.57916666666667,135.48125,4.815
50352399,1,33.57916666666667,135.49375,5.958
50352407,66,33.50416666666667,135.59375,16.908
50352408,105,33.50416666666667,135.60625,16.807
50352409,52,33.50416666666667,135.61875,15.689
50352414,8,33.5125,135.55625,13.399
50352415,10,33.5125,135.56875,14.421
50352416,136,33.5125,135.58124999999998,15.462
50352417,31,33.5125,135.59375,16.518
50352418,209,33.5125,135.60625,17.035
50352421,13,33.520833333333336,135.51874999999998,9.953
50352422,2,33.520833333333336,135.53125,10.929
50352425,26,33.520833333333336,135.56875,14.024
50352426,3,33.520833333333336,135.58124999999998,15.092
50352431,103,33.52916666666667,135.51874999999998,9.46
50352441,3,33.5375,135.51874999999998,9.036
50352442,26,33.5375,135.53125,10.101
50352456,2,33.545833333333334,135.58124999999998,14.289
50352457,1,33.545833333333334,135.59375,15.426
50352460,308,33.55416666666667,135.50625,7.309
50352461,27,33.55416666666667,135.51874999999998,8.433
50352462,1,33.55416666666667,135.53125,9.564
50352463,2,33.55416666666667,135.54375,10.701
50352466,10,33.55416666666667,135.58124999999998,14.134
50352469,2,33.55416666666667,135.61875,17.582
50352470,303,33.5625,135.50625,7.123
50352471,42,33.5625,135.51874999999998,8.271
50352473,2,33.5625,135.54375,10.574
50352476,3,33.5625,135.58124999999998,14.037
50352486,8,33.57083333333334,135.58124999999998,14.002
50352488,3,33.57083333333334,135.60625,16.318
50352498,6,33.57916666666667,135.60625,16.34
50352499,18,33.57916666666667,135.61875,17.497
50352500,21,33.50416666666667,135.63125,14.573
50352501,73,33.50416666666667,135.64374999999998,13.439
50352502,379,33.50416666666667,135.65625,12.31
50352507,13,33.50416666666667,135.71875,6.815
50352508,5,33.50416666666667,135.73125,5.787
50352510,28,33.5125,135.63125,14.785
50352512,31,33.5125,135.65625,12.56
50352518,2,33.5125,135.73125,6.303
50352531,2,33.52916666666667,135.64374999999998,14.297
50352534,1,33.52916666666667,135.68125,11.192
