市区町村,人口
盛岡市,289731.0
宮古市,50369.0
大船渡市,34728.0
花巻市,93193.0
北上市,93045.0
久慈市,33043.0
遠野市,25366.0
一関市,111932.0
陸前高田市,18262.0
釜石市,32078.0
二戸市,25513.0
八幡平市,24023.0
奥州市,112937.0
滝沢市,55579.0
岩手郡雫石町,15731.0
岩手郡葛巻町,5634.0
岩手郡岩手町,12285.0
紫波郡紫波町,32147.0
紫波郡矢巾町,28056.0
和賀郡西和賀町,5134.0
胆沢郡金ケ崎町,15535.0
西磐井郡平泉町,7252.0
気仙郡住田町,5045.0
上閉伊郡大槌町,11004.0
下閉伊郡山田町,14320.0
下閉伊郡岩泉町,8726.0
下閉伊郡田野畑村,3059.0
下閉伊郡普代村,2487.0
九戸郡軽米町,8421.0
九戸郡野田村,3936.0
九戸郡九戸村,5378.0
九戸郡洋野町,15091.0
二戸郡一戸町,11494.0
