company,store_name,address
ツルハドラッグ,ツルハドラッグ マリオス店,岩手県盛岡市盛岡駅西通２丁目９−１マリオス立体5F内
ツルハドラッグ,ツルハドラッグ 一関中里店,岩手県一関市中里雲南６３63番地
ツルハドラッグ,ツルハドラッグ 一関中里店,岩手県一関市中里字雲南63番地
ツルハドラッグ,ツルハドラッグ 三本柳店,岩手県盛岡市三本柳５地割２８−２
ツルハドラッグ,ツルハドラッグ 上田店,岩手県盛岡市上田１丁目３−２６
ツルハドラッグ,ツルハドラッグ 久慈店,岩手県久慈市長内町第２９地割29地割8-1
ツルハドラッグ,ツルハドラッグ 久慈店,岩手県久慈市長内町29地割8-1
ツルハドラッグ,ツルハドラッグ 久慈荒町店,岩手県久慈市荒町第３地割14番1
ツルハドラッグ,ツルハドラッグ 八幡平バイパス店,岩手県八幡平市大更第３４地割３９２−１
ツルハドラッグ,ツルハドラッグ 前沢店,岩手県奥州市前沢竹沢82番地
ツルハドラッグ,ツルハドラッグ 前沢店,岩手県奥州市前沢字竹沢82番地
ツルハドラッグ,ツルハドラッグ 北上常盤台店,岩手県北上市常盤台４丁目１−５１
ツルハドラッグ,ツルハドラッグ 北上常盤台店,岩手県北上市常盤台四丁目1番51号
ツルハドラッグ,ツルハドラッグ 北上店,岩手県北上市柳原町１丁目４−１４０
ツルハドラッグ,ツルハドラッグ 北上東店,岩手県北上市里分４地割３３−１
ツルハドラッグ,ツルハドラッグ 北上江釣子店,岩手県北上市上江釣子６地割３３−３
ツルハドラッグ,ツルハドラッグ 北上流通センター店,岩手県北上市流通センター９
ツルハドラッグ,ツルハドラッグ 北上流通センター店,岩手県北上市流通センター9番74号
ツルハドラッグ,ツルハドラッグ 北上若宮町店,岩手県北上市若宮町２丁目３−456番地
ツルハドラッグ,ツルハドラッグ 北上若宮町店,岩手県北上市若宮町2丁目456番地
ツルハドラッグ,ツルハドラッグ 北上鬼柳店,岩手県北上市鬼柳町都鳥190番地2
ツルハドラッグ,ツルハドラッグ 大槌店,岩手県上閉伊郡大槌町大槌第２３地割字沢山8番地1
ツルハドラッグ,ツルハドラッグ 大船渡北店,岩手県大船渡市立根町桑原43番地1
ツルハドラッグ,ツルハドラッグ 大船渡北店,岩手県大船渡市立根町字桑原43番地1
ツルハドラッグ,ツルハドラッグ 大船渡店,岩手県大船渡市盛町内ノ目１４−５
ツルハドラッグ,ツルハドラッグ 大船渡店,岩手県大船渡市盛町字内ノ目14-5
ツルハドラッグ,ツルハドラッグ 大船渡笹崎店,岩手県大船渡市大船渡町笹崎１３２−１
ツルハドラッグ,ツルハドラッグ 大船渡笹崎店,岩手県大船渡市大船渡町字笹崎132-1
ツルハドラッグ,ツルハドラッグ 大船渡赤崎店,岩手県大船渡市赤崎町諏訪前３９−７
