company,store_name,address
ツルハドラッグ,ツルハドラッグ 横手平鹿病院前店,秋田県横手市字五ノ口２８－１
ツルハドラッグ,ツルハドラッグ 毛馬内店,秋田県鹿角市十和田毛馬内南陣場30番地1
ツルハドラッグ,ツルハドラッグ 湯沢大町店,秋田県湯沢市大町２丁目１10号
ツルハドラッグ,ツルハドラッグ 湯沢大町店,秋田県湯沢市大町二丁目1番10号
ツルハドラッグ,ツルハドラッグ 湯沢店,秋田県湯沢市両神２８−１
ツルハドラッグ,ツルハドラッグ 潟上昭和店,秋田県潟上市昭和乱橋下畑９８番地
ツルハドラッグ,ツルハドラッグ 琴丘店,秋田県山本郡三種町鹿渡西小瀬川157番
ツルハドラッグ,ツルハドラッグ 田沢湖店,秋田県仙北市田沢湖生保内街道ノ上７１−１
ツルハドラッグ,ツルハドラッグ 男鹿店,秋田県男鹿市脇本脇本石館１６
ツルハドラッグ,ツルハドラッグ 男鹿払戸店,秋田県男鹿市払戸大堤１２７番1
ツルハドラッグ,ツルハドラッグ 男鹿船川店,秋田県男鹿市船川港比詰大巻１４４−１
ツルハドラッグ,ツルハドラッグ 秋田中通店,秋田県秋田市中通２丁目１−４６
ツルハドラッグ,ツルハドラッグ 秋田中野店,秋田県秋田市下新城中野琵琶沼431番2
ツルハドラッグ,ツルハドラッグ 秋田中野店,秋田県秋田市字琵琶沼431番2
ツルハドラッグ,ツルハドラッグ 秋田仁井田店,秋田県秋田市仁井田新田２丁目５−１６
ツルハドラッグ,ツルハドラッグ 秋田八橋店,秋田県秋田市八橋新川向８−３０
ツルハドラッグ,ツルハドラッグ 秋田土崎店,秋田県秋田市土崎港北７丁目２−２４
ツルハドラッグ,ツルハドラッグ 秋田土崎店,秋田県秋田市土崎港北七丁目2番24号
ツルハドラッグ,ツルハドラッグ 秋田寺内店,秋田県秋田市寺内油田１丁目４−１０
ツルハドラッグ,ツルハドラッグ 秋田将軍野店,秋田県秋田市将軍野東３丁目６−４１
ツルハドラッグ,ツルハドラッグ 秋田将軍野店,秋田県秋田市将軍野東三丁目6番41号
ツルハドラッグ,ツルハドラッグ 秋田山王店,秋田県秋田市山王５丁目７−１６
ツルハドラッグ,ツルハドラッグ 秋田山王店,秋田県秋田市山王五丁目7番16号
ツルハドラッグ,ツルハドラッグ 秋田川尻店,秋田県秋田市川尻御休町５−２７
ツルハドラッグ,ツルハドラッグ 秋田川尻西店,秋田県秋田市川尻大川町２−１５
ツルハドラッグ,ツルハドラッグ 秋田広面北店,秋田県秋田市広面蓮沼９４−１
ツルハドラッグ,ツルハドラッグ 秋田広面店,秋田県秋田市広面樋ノ沖９３−１
ツルハドラッグ,ツルハドラッグ 秋田広面西店,秋田県秋田市広面鍋沼10−１
ツルハドラッグ,ツルハドラッグ 秋田御所野店,秋田県秋田市御所野元町１丁目１−１７
ツルハドラッグ,ツルハドラッグ 秋田手形店,秋田県秋田市手形山崎９２−３３
ツルハドラッグ,ツルハドラッグ 秋田楢山店,秋田県秋田市楢山川口境４−２１
ツルハドラッグ,ツルハドラッグ 秋田泉北店,秋田県秋田市泉北１丁目１７−３４
ツルハドラッグ,ツルハドラッグ 秋田泉北店,秋田県秋田市1丁目17番34号
ツルハドラッグ,ツルハドラッグ 秋田泉南店,秋田県秋田市泉南３丁目２３−２４
ツルハドラッグ,ツルハドラッグ 秋田牛島店,秋田県秋田市仁井田二ツ屋１丁目４−５５
ツルハドラッグ,ツルハドラッグ 米内沢店,秋田県北秋田市米内沢東川向５
ツルハドラッグ,ツルハドラッグ 美郷天神堂店,秋田県仙北郡美郷町天神堂赤城１６７−１
ツルハドラッグ,ツルハドラッグ 美郷店,秋田県仙北郡美郷町土崎上宿２４０
ツルハドラッグ,ツルハドラッグ 羽後店,秋田県雄勝郡羽後町南西馬音内２１３
ツルハドラッグ,ツルハドラッグ 能代二ツ井店,秋田県能代市二ツ井町中坪１２
ツルハドラッグ,ツルハドラッグ 能代北店,秋田県能代市落合上前田１６１161番地
ツルハドラッグ,ツルハドラッグ 能代店,秋田県能代市寺向７３
ツルハドラッグ,ツルハドラッグ 能代花園店,秋田県能代市花園町２６−２６
ツルハドラッグ,ツルハドラッグ 能代長崎店,秋田県能代市長崎９１
ツルハドラッグ,ツルハドラッグ 若竹町店,秋田県大仙市若竹町３３−１１
ツルハドラッグ,ツルハドラッグ 茨島店,秋田県秋田市茨島４丁目３−２１
ツルハドラッグ,ツルハドラッグ 角館店,秋田県仙北市角館町上菅沢449番地1
ツルハドラッグ,ツルハドラッグ 象潟北店,秋田県にかほ市象潟町大門先６−３
ツルハドラッグ,ツルハドラッグ 象潟店,秋田県にかほ市象潟町武道島１４９−２
ツルハドラッグ,ツルハドラッグ 雄物川店,秋田県横手市雄物川町沼館沼館４５６−１
ツルハドラッグ,ツルハドラッグ 鷹巣店,秋田県北秋田市栄中綱60番地
ツルハドラッグ,ツルハドラッグ 鹿角中央店,秋田県鹿角市花輪下中島８２−１
ツルハドラッグ,ツルハドラッグ 鹿角店,秋田県鹿角市花輪下タ町２０２
ハッピードラッグ,ハッピー・ドラッグ 北秋田鷹巣店,秋田県北秋田市米代町５−１４
ハッピードラッグ,ハッピー・ドラッグ 大館比内店,秋田県大館市比内町扇田伊勢堂岱１８３−１
ハッピードラッグ,ハッピー・ドラッグ 大館片山店,秋田県大館市片山町２丁目25−６
ハッピードラッグ,ハッピー・ドラッグ 由利本荘石脇店,秋田県由利本荘市石脇田尻野２２−１３
ハッピードラッグ,ハッピー・ドラッグ 秋田保戸野店,秋田県秋田市保戸野原の町１５−８
ハッピードラッグ,ハッピー・ドラッグ 秋田土崎東店,秋田県秋田市土崎港東３丁目２−２６
ハッピードラッグ,ハッピー・ドラッグ 秋田小坂店,秋田県鹿角郡小坂町小坂五十刈１０−４
ハッピードラッグ,ハッピー・ドラッグ 秋田新屋店,秋田県秋田市新屋鳥木町３−２
ハッピードラッグ,ハッピー・ドラッグ 能代北店,秋田県能代市落合上前田１６９
ハッピードラッグ,ハッピー・ドラッグ 能代南店,秋田県能代市東大瀬５１−３
ハッピードラッグ,ハッピー・ドラッグ 鹿角毛馬内店,秋田県鹿角市十和田毛馬内中陣場１１１−１
ハッピードラッグ,ハッピー・ドラッグ 鹿角花輪店,秋田県鹿角市花輪上花輪２３７
マツモトキヨシ,ドラッグストア マツモトキヨシ メルシティ潟上店,秋田県潟上市飯田川飯塚上堤敷６９−１
マツモトキヨシ,薬 マツモトキヨシ イオンモール秋田店,秋田県秋田市御所野地蔵田１丁目１−１
マツモトキヨシ,薬 マツモトキヨシ 秋田駅ビルALS店,秋田県秋田市中通７丁目２−１
不明,ヘルスドラッグ須藤 マックスバリュ にかほ店,秋田県にかほ市平沢天ケ町８２
不明,ベストドラッグ井川店,秋田県南秋田郡井川町北川尻新坂９０−１
不明,㈲ヘルスドラッグ須藤,秋田県にかほ市平沢清水５０−１０
不明,五城目中央ドラッグ,秋田県南秋田郡五城目町下タ町１９３
薬王堂,薬王堂 にかほ平沢店,秋田県にかほ市平沢館ケ森１−８
薬王堂,薬王堂 にかほ象潟店,秋田県にかほ市象潟町沖ノ田１−１
薬王堂,薬王堂 三種八竜店,秋田県山本郡三種町浜田東浜田３３０
薬王堂,薬王堂 三種森岳店,秋田県山本郡三種町森岳岩瀬２２０−１
薬王堂,薬王堂 中仙店,秋田県大仙市北長野茶畑１１７
薬王堂,薬王堂 北秋田鷹巣店,秋田県北秋田市鷹巣西中岱４６−１
薬王堂,薬王堂 十文字梨木店,秋田県横手市十文字町梨木村北７３−１
薬王堂,薬王堂 大仙太田店,秋田県大仙市太田町横沢相野４２０
薬王堂,薬王堂 大仙神岡店,秋田県大仙市神宮寺大浦前３０−１
薬王堂,薬王堂 大仙高梨店,秋田県大仙市高梨金堀２６７−１
薬王堂,薬王堂 大曲佐野町店,秋田県大仙市佐野町８−１６
薬王堂,薬王堂 大曲四ツ屋店,秋田県大仙市高関上郷不動堂１６７−１
薬王堂,薬王堂 大曲福田店,秋田県大仙市福田町２２−２１−４
薬王堂,薬王堂 大曲飯田店,秋田県大仙市飯田屋舗通７５−１
薬王堂,薬王堂 大館SC店,秋田県大館市御成町４丁目３−１３
薬王堂,薬王堂 大館店,秋田県大館市観音堂４２０
薬王堂,薬王堂 大館比内店,秋田県大館市比内町扇田長岡下４４
薬王堂,薬王堂 大館水門町店,秋田県大館市水門町６−２
薬王堂,薬王堂 大館田代店,秋田県大館市岩瀬羽貫谷地山下９３−９
薬王堂,薬王堂 横手八幡店,秋田県横手市八幡上長田２５
薬王堂,薬王堂 横手増田店,秋田県横手市増田町増田月山西２９−１
薬王堂,薬王堂 横手大雄店,秋田県横手市大雄精兵村６−１
薬王堂,薬王堂 横手平鹿店,秋田県横手市平鹿町浅舞福田２２０−１
薬王堂,薬王堂 横手幸町店,秋田県横手市幸町３−５８
薬王堂,薬王堂 横手店,秋田県横手市条里２丁目４−１２
薬王堂,薬王堂 横手赤坂店,秋田県横手市赤坂大道添３８
薬王堂,薬王堂 横手雄物川店,秋田県横手市雄物川町造山字広田表１５−１
薬王堂,薬王堂 湯沢倉内店,秋田県湯沢市倉内川原田１７−２
薬王堂,薬王堂 湯沢古館店,秋田県湯沢市古館町７−４２
薬王堂,薬王堂 湯沢田町店,秋田県湯沢市田町２丁目３−３８
薬王堂,薬王堂 湯沢稲川店,秋田県湯沢市川連町大舘疣橋５７
薬王堂,薬王堂 湯沢雄勝店,秋田県湯沢市小野新田81番
薬王堂,薬王堂 潟上天王店,秋田県潟上市天王二田２０８−１
薬王堂,薬王堂 潟上追分店,秋田県潟上市天王長沼６４−１６８
薬王堂,薬王堂 由利本荘大内店,秋田県由利本荘市岩谷町西越９４−３
薬王堂,薬王堂 由利本荘矢島店,秋田県由利本荘市矢島町城内築舘１５９−１
薬王堂,薬王堂 由利本荘石脇店,秋田県由利本荘市石脇田中９４−２
薬王堂,薬王堂 由利本荘荒町店,秋田県由利本荘市荒町真城２０−１
薬王堂,薬王堂 由利本荘薬師堂店,秋田県由利本荘市薬師堂谷地４５
薬王堂,薬王堂 由利本荘裏尾崎店,秋田県由利本荘市裏尾崎町７
薬王堂,薬王堂 由利本荘西目店,秋田県由利本荘市西目町沼田新道下２−５３８
薬王堂,薬王堂 男鹿SC店,秋田県男鹿市船越内子２１８−１
薬王堂,薬王堂 男鹿船川店,秋田県男鹿市船川港船川海岸通り一号８−３
薬王堂,薬王堂 秋田五城目店,秋田県南秋田郡五城目町七倉南秋田郡五城目町七倉１６番5
薬王堂,薬王堂 秋田井川店,秋田県南秋田郡井川町浜井川荒田堰１６２
薬王堂,薬王堂 秋田八峰店,秋田県山本郡八峰町八森湯の尻１７−１
薬王堂,薬王堂 秋田八郎潟店,秋田県南秋田郡八郎潟町昼根下１０１−１
薬王堂,薬王堂 秋田六郷店,秋田県仙北郡美郷町野中中明子１０６番
薬王堂,薬王堂 秋田十文字店,秋田県横手市十文字町佐賀会下沖田６１−５
薬王堂,薬王堂 秋田土崎港店,秋田県秋田市土崎港西５丁目９−２４
薬王堂,薬王堂 秋田外旭川店,秋田県秋田市外旭川小谷地６１
薬王堂,薬王堂 秋田天徳寺通店,秋田県秋田市泉三嶽根７−２３
薬王堂,薬王堂 秋田東通店,秋田県秋田市東通７丁目７−１６
薬王堂,薬王堂 秋田羽後店,秋田県雄勝郡羽後町南西馬音内２０１
薬王堂,薬王堂 秋田茨島店,秋田県秋田市卸町５丁目６−１
薬王堂,薬王堂 秋田角館店,秋田県仙北市角館町小勝田中川原１３２
薬王堂,薬王堂 能代二ツ井店,秋田県能代市二ツ井町道上中坪３２−１
薬王堂,薬王堂 能代出戸店,秋田県能代市出戸後６−２３
薬王堂,薬王堂 能代寺向店,秋田県能代市寺向９３−１
薬王堂,薬王堂 能代落合店,秋田県能代市落合下前田１９３
薬王堂,薬王堂 角館下菅沢店,秋田県仙北市角館町下菅沢９８
薬王堂,薬王堂 鹿角花輪高井田店,秋田県鹿角市花輪高井田59−３３
薬王堂,薬王堂北秋田米内沢店,秋田県北秋田市米内沢諏訪岱１４６−８
薬王堂,薬王堂大曲川目店,秋田県大仙市飯田大道端１７４−２
薬王堂,薬王堂潟上飯田川店,秋田県潟上市飯田川和田妹川千刈８−３
薬王堂,薬王堂鹿角花輪店,秋田県鹿角市花輪鉄砲１８−１
