市区町村,総数,65歳以上,高齢化率
様似町,4043.0,1710.0,42.29533
えりも町,4374.0,1439.0,32.89895
新ひだか町,21517.0,7628.0,35.45104
音更町,43576.0,12928.0,29.66771
士幌町,5848.0,1939.0,33.15663
上士幌町,4778.0,1691.0,35.39138
鹿追町,5266.0,1630.0,30.95329
新得町,5817.0,2199.0,37.80299
清水町,9094.0,3471.0,38.16802
芽室町,18048.0,5539.0,30.69038
中札内村,3884.0,1118.0,28.78476
更別村,3080.0,969.0,31.46104
大樹町,5420.0,1983.0,36.58672
広尾町,6387.0,2518.0,39.42383
幕別町,25766.0,8660.0,33.61018
池田町,6294.0,2743.0,43.58119
豊頃町,3022.0,1192.0,39.44408
本別町,6618.0,2756.0,41.644
足寄町,6563.0,2621.0,39.936
陸別町,2264.0,886.0,39.13428
浦幌町,4387.0,1865.0,42.51197
釧路町,19105.0,5728.0,29.98168
厚岸町,8892.0,3182.0,35.78498
浜中町,5507.0,1759.0,31.94117
標茶町,7230.0,2475.0,34.23237
弟子屈町,6955.0,2918.0,41.95543
鶴居村,2558.0,913.0,35.69195
白糠町,7289.0,3065.0,42.04966
別海町,14380.0,4102.0,28.52573
中標津町,23010.0,6165.0,26.7927
標津町,5023.0,1575.0,31.35576
羅臼町,4722.0,1484.0,31.42736
