都道府県,分析方法,距離種別,店舗探索範囲,人口加重平均距離_km,人口加重中央値_km,人口加重90パーセンタイル_km,対象市区町村数,対象人口,対象メッシュ数
愛知県,市区町村重心法,直線距離(Haversine),prefecture,1.078,0.63,2.516,69.0,7542415,
愛知県,1kmメッシュ法,直線距離(Haversine),prefecture,0.704,0.525,1.297,,7542415,3961.0
